GHCN_DIN,DATE,PRCP (10^-1 mm),SNOW (mm),TMAX (°C),TMIN (°C),ELEVATION (m),NAME,COORD (LAT),COORD (LONG),COUNTRY_CODE
AR000875850,26/03/2015,30,,,10.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/03/2015,0,,22.3,10.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/03/2015,,,23.8,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/03/2015,,,,14.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/03/2015,,,28.6,16.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/03/2015,,,28.8,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/04/2015,,,27.8,16,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/04/2015,,,,16.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/04/2015,,,,18.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/04/2015,51,,31.8,19,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/04/2015,0,,,16.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/04/2015,,,26,9.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/04/2015,,,,13.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/04/2015,,,22.3,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/04/2015,279,,,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/05/2015,0,,21.6,16.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/05/2015,140,,,15.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/05/2015,0,,22,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/05/2015,,,,5.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/05/2015,,,,8.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/05/2015,,,23.2,9.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/05/2015,,,16.7,6.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/05/2015,,,,9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/05/2015,,,,9.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/05/2015,79,,21.5,11.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/05/2015,0,,19.3,10.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/05/2015,,,20.1,12.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/05/2015,,,20.9,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/05/2015,,,,13,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/05/2015,,,24.1,13.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/05/2015,,,,15.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/05/2015,,,25.9,17,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/05/2015,,,25.3,19.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/05/2015,,,26,18.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/05/2015,,,,18.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/05/2015,,,,18.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/05/2015,,,27.5,19.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/05/2015,,,27.1,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/05/2015,,,20.5,9.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/05/2015,,,,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/05/2015,5,,19.7,8.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/05/2015,89,,,9.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/05/2015,0,,19,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/05/2015,,,17.6,11.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/05/2015,0,,,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/05/2015,,,,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/06/2015,,,,11.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/06/2015,,,,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/06/2015,,,22.9,12.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/06/2015,,,23.6,9.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/06/2015,,,,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/06/2015,0,,24,19,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/06/2015,0,,23.6,10.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/06/2015,,,22.2,8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/06/2015,,,18.9,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/06/2015,0,,15.9,7.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/06/2015,,,,5.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/06/2015,,,,4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/06/2015,,,18,6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/06/2015,20,,16.6,5.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/06/2015,0,,17.2,3.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/06/2015,,,,4.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/06/2015,,,20.6,7.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/06/2015,,,16.8,2.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/06/2015,,,12.3,1.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/06/2015,,,,5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/06/2015,,,16.9,3.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/06/2015,,,17.5,4.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/06/2015,,,12.4,1.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/06/2015,,,,3.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/06/2015,,,,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/06/2015,,,,11.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/06/2015,0,,20.5,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/06/2015,340,,19,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/06/2015,310,,,15.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/06/2015,20,,21,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/07/2015,0,,19,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/07/2015,,,,9.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/07/2015,3,,15.5,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/07/2015,0,,,3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/07/2015,0,,,3.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
